Timestamp,Event
2025-06-09 13:01:18,Side Tilt Detected
2025-06-09 13:01:18,Not Looking Straight
2025-06-09 13:01:18,Side Tilt Detected
2025-06-09 13:01:18,Slouch Detected
2025-06-09 13:01:19,Posture OK
2025-06-09 13:01:21,Side Tilt Detected
2025-06-09 13:01:21,Not Looking Straight
2025-06-09 13:01:21,Side Tilt Detected
2025-06-09 13:01:22,Slouch Detected
2025-06-09 13:01:22,Posture OK
2025-06-09 13:01:24,Slouch Detected
2025-06-09 13:01:25,Side Tilt Detected
2025-06-09 13:01:25,Slouch Detected
2025-06-09 13:01:26,Side Tilt Detected
2025-06-09 13:01:27,Slouch Detected
2025-06-09 13:01:27,Not Looking Straight
2025-06-09 13:01:28,Slouch Detected
2025-06-09 18:03:22,Side Tilt Detected
2025-06-09 18:03:22,Posture OK
2025-06-09 18:03:23,Side Tilt Detected
2025-06-09 18:03:23,Posture OK
2025-06-09 18:03:28,Side Tilt Detected
2025-06-09 18:03:28,Posture OK
2025-06-09 18:03:29,Side Tilt Detected
2025-06-09 18:03:29,Posture OK
2025-06-09 18:03:30,Side Tilt Detected
2025-06-09 18:03:30,Posture OK
2025-06-09 18:03:30,Side Tilt Detected
2025-06-09 18:03:31,Posture OK
2025-06-09 18:03:33,Side Tilt Detected
2025-06-09 18:03:33,Posture OK
2025-06-09 18:03:35,Side Tilt Detected
2025-06-09 18:03:35,Posture OK
2025-06-09 18:03:36,Slouch Detected
2025-06-09 18:03:36,Side Tilt Detected
2025-06-09 18:03:36,Posture OK
2025-06-09 18:03:36,Slouch Detected
2025-06-09 18:03:37,Side Tilt Detected
2025-06-09 18:03:37,Slouch Detected
2025-06-09 18:03:37,Side Tilt Detected
2025-06-09 18:03:39,Slouch Detected
2025-06-09 18:03:40,Side Tilt Detected
2025-06-09 18:03:40,Slouch Detected
2025-06-09 18:03:40,Posture OK
2025-06-09 18:03:43,Side Tilt Detected
2025-06-09 18:03:44,Posture OK
2025-06-09 18:03:46,Side Tilt Detected
2025-06-09 18:03:48,Posture OK
2025-06-09 18:03:48,Side Tilt Detected
2025-06-09 18:03:48,Posture OK
2025-06-09 18:03:48,Side Tilt Detected
2025-06-09 18:03:48,Posture OK
2025-06-09 18:03:51,Side Tilt Detected
2025-06-09 18:03:52,Posture OK
2025-06-09 18:03:52,Side Tilt Detected
2025-06-09 18:03:56,Not Looking Straight
2025-06-09 18:03:56,Side Tilt Detected
2025-06-09 18:03:56,Not Looking Straight
2025-06-09 18:03:56,Side Tilt Detected
2025-06-09 18:04:02,Posture OK
2025-06-09 18:04:02,Side Tilt Detected
2025-06-09 18:04:02,Not Looking Straight
2025-06-09 18:04:02,Side Tilt Detected
2025-06-09 18:04:03,Not Looking Straight
2025-06-09 18:04:03,Side Tilt Detected
2025-06-09 18:04:03,Not Looking Straight
2025-06-09 18:04:03,Side Tilt Detected
2025-06-09 18:04:03,Head Tilt Detected
2025-06-09 18:04:04,Not Looking Straight
2025-06-09 18:04:04,Side Tilt Detected
2025-06-09 18:04:07,Head Tilt Detected
2025-06-09 18:04:07,Not Looking Straight
2025-06-09 18:04:08,Side Tilt Detected
2025-06-09 18:04:09,Not Looking Straight
2025-06-09 18:04:09,Head Tilt Detected
2025-06-09 18:04:09,Not Looking Straight
2025-06-09 18:04:10,Side Tilt Detected
2025-06-09 18:04:10,Not Looking Straight
2025-06-09 18:04:12,Head Tilt Detected
2025-06-09 18:04:13,Not Looking Straight
2025-06-09 18:04:13,Head Tilt Detected
2025-06-09 18:04:13,Side Tilt Detected
2025-06-09 18:04:13,Not Looking Straight
2025-06-09 18:04:13,Side Tilt Detected
2025-06-09 18:04:13,Not Looking Straight
2025-06-09 18:04:14,Head Tilt Detected
2025-06-09 18:04:14,Not Looking Straight
2025-06-09 18:04:15,Head Tilt Detected
2025-06-09 18:04:15,Not Looking Straight
2025-06-09 18:04:15,Head Tilt Detected
2025-06-09 18:04:15,Not Looking Straight
2025-06-09 18:04:16,Side Tilt Detected
2025-06-09 18:04:17,Not Looking Straight
2025-06-09 18:04:17,Side Tilt Detected
2025-06-09 18:04:18,Head Tilt Detected
2025-06-09 18:04:18,Side Tilt Detected
2025-06-09 18:04:18,Head Tilt Detected
2025-06-09 18:04:18,Side Tilt Detected
2025-06-09 18:04:18,Head Tilt Detected
2025-06-09 18:04:19,Side Tilt Detected
2025-06-09 18:04:19,Head Tilt Detected
2025-06-09 18:04:19,Not Looking Straight
2025-06-09 18:04:19,Head Tilt Detected
2025-06-09 18:04:19,Not Looking Straight
2025-06-09 18:04:20,Side Tilt Detected
2025-06-09 18:04:20,Head Tilt Detected
2025-06-09 18:04:20,Side Tilt Detected
2025-06-09 18:04:21,Not Looking Straight
2025-06-09 18:05:17,Side Tilt Detected
2025-06-09 18:05:17,Posture OK
2025-06-09 18:05:17,Side Tilt Detected
2025-06-09 18:05:19,Head Tilt Detected
2025-06-09 18:05:19,Posture OK
2025-06-09 18:05:19,Head Tilt Detected
2025-06-09 18:05:19,Posture OK
2025-06-09 18:05:19,Head Tilt Detected
2025-06-09 18:05:19,Not Looking Straight
2025-06-09 18:05:20,Posture OK
2025-06-09 18:05:20,Not Looking Straight
2025-06-09 18:05:21,Posture OK
2025-06-09 18:05:21,Head Tilt Detected
2025-06-09 18:05:21,Posture OK
2025-06-09 18:05:21,Head Tilt Detected
2025-06-09 18:05:21,Posture OK
2025-06-09 18:05:21,Not Looking Straight
2025-06-09 18:05:22,Posture OK
2025-06-09 18:05:22,Side Tilt Detected
2025-06-09 18:05:22,Posture OK
2025-06-09 18:05:23,Side Tilt Detected
2025-06-09 18:05:23,Not Looking Straight
2025-06-09 18:05:23,Side Tilt Detected
2025-06-09 18:05:23,Posture OK
2025-06-09 18:05:23,Side Tilt Detected
2025-06-09 18:05:23,Posture OK
2025-06-09 18:05:23,Side Tilt Detected
2025-06-09 18:05:24,Head Tilt Detected
2025-06-09 18:05:24,Posture OK
2025-06-09 18:05:24,Not Looking Straight
2025-06-09 18:05:24,Posture OK
2025-06-09 18:05:24,Side Tilt Detected
2025-06-09 18:05:24,Not Looking Straight
2025-06-09 18:05:24,Side Tilt Detected
2025-06-09 18:05:25,Posture OK
2025-06-09 18:05:25,Side Tilt Detected
2025-06-09 18:05:25,Head Tilt Detected
2025-06-09 18:05:25,Posture OK
2025-06-09 18:05:25,Not Looking Straight
2025-06-09 18:05:26,Posture OK
2025-06-09 18:05:26,Not Looking Straight
2025-06-09 18:05:26,Posture OK
2025-06-09 18:05:26,Not Looking Straight
2025-06-09 18:05:26,Posture OK
2025-06-09 18:05:26,Not Looking Straight
2025-06-09 18:05:27,Side Tilt Detected
2025-06-09 18:05:27,Posture OK
2025-06-09 18:05:30,Side Tilt Detected
2025-06-09 18:05:30,Not Looking Straight
2025-06-09 18:05:30,Side Tilt Detected
2025-06-09 18:05:30,Not Looking Straight
2025-06-09 18:05:30,Side Tilt Detected
2025-06-09 18:05:30,Not Looking Straight
2025-06-09 18:05:30,Side Tilt Detected
2025-06-09 18:05:30,Not Looking Straight
2025-06-09 18:05:31,Side Tilt Detected
2025-06-09 18:05:31,Not Looking Straight
2025-06-09 18:05:31,Posture OK
2025-06-09 18:05:31,Side Tilt Detected
2025-06-09 18:05:34,Not Looking Straight
2025-06-09 18:05:34,Posture OK
2025-06-09 18:05:35,Not Looking Straight
2025-06-09 18:05:35,Posture OK
2025-06-09 18:05:35,Not Looking Straight
2025-06-09 18:05:36,Posture OK
2025-06-09 18:05:36,Head Tilt Detected
2025-06-09 18:05:36,Posture OK
2025-06-09 18:05:36,Head Tilt Detected
2025-06-09 18:05:36,Posture OK
2025-06-09 18:05:36,Head Tilt Detected
2025-06-09 18:05:36,Posture OK
2025-06-09 18:05:37,Not Looking Straight
2025-06-09 18:05:37,Side Tilt Detected
2025-06-09 18:05:37,Posture OK
2025-06-09 18:05:37,Side Tilt Detected
2025-06-09 18:05:37,Posture OK
2025-06-09 18:05:38,Not Looking Straight
2025-06-09 18:05:39,Posture OK
2025-06-09 18:05:39,Not Looking Straight
2025-06-09 18:05:40,Posture OK
2025-06-09 18:05:40,Not Looking Straight
2025-06-09 18:05:41,Posture OK
2025-06-09 18:05:42,Not Looking Straight
2025-06-09 18:05:42,Posture OK
2025-06-09 18:05:43,Side Tilt Detected
2025-06-09 18:05:43,Posture OK
2025-06-09 18:05:43,Side Tilt Detected
2025-06-09 18:05:43,Not Looking Straight
2025-06-09 18:05:43,Side Tilt Detected
2025-06-09 18:05:43,Not Looking Straight
2025-06-09 18:05:43,Posture OK
2025-06-09 18:05:45,Not Looking Straight
2025-06-09 18:05:45,Posture OK
2025-06-09 18:05:45,Not Looking Straight
2025-06-09 18:05:45,Posture OK
2025-06-09 18:05:45,Not Looking Straight
2025-06-09 18:05:45,Posture OK
2025-06-09 18:05:45,Not Looking Straight
2025-06-09 18:05:45,Posture OK
2025-06-09 18:05:45,Side Tilt Detected
2025-06-09 18:05:46,Posture OK
2025-06-09 18:05:46,Not Looking Straight
2025-06-09 18:05:47,Side Tilt Detected
2025-06-09 18:05:47,Not Looking Straight
2025-06-09 18:05:48,Side Tilt Detected
2025-06-09 18:05:48,Not Looking Straight
2025-06-09 18:05:49,Posture OK
2025-06-09 18:05:51,Not Looking Straight
2025-06-09 18:05:51,Posture OK
2025-06-09 18:05:51,Not Looking Straight
2025-06-09 18:05:51,Posture OK
2025-06-09 18:05:53,Not Looking Straight
2025-06-09 18:05:54,Posture OK
2025-06-09 18:05:54,Not Looking Straight
2025-06-09 18:05:54,Posture OK
2025-06-09 18:05:54,Not Looking Straight
2025-06-09 18:05:54,Posture OK
2025-06-09 18:05:55,Not Looking Straight
2025-06-09 18:05:55,Posture OK
2025-06-09 18:05:55,Not Looking Straight
2025-06-09 18:05:55,Posture OK
2025-06-09 18:05:55,Not Looking Straight
2025-06-09 18:05:55,Posture OK
2025-06-09 18:05:56,Not Looking Straight
